poor servicenot friendly assistance .

minimall with boots pharmacy, whole foods type ritzy fullservice market, coffee shops, etc .

to get room service, it called housekeeping .

good location horrible service disgusting procedures .

service impersonal but friendly .

good location new room bad service  .

service was impeccably english hotel, wide .

near a tube station that services three subway lines, for starters .

service is not particularly attentive, but not rude .

poor customer service, bad and overpriced pub food .

service in all areas, at all levels was good .

it met all my expectations ,  very clean room w pleasing modern decor, above average housekeeping services, accomodating staff .

stunning food, amazing service .

i wish that the hotel had better service, however .

fantastic, professional, helpful staff, clean rooms, great room service, fitness area and internet business facilities keep me coming back .

basic clean lodging service lacking .

it was clean and serviced promptly every day with fresh linen and towels .

room service took 15 minutes, which shocked me .

not customer, oriented hotelvery low service levelboor reception

if you are looking for a bit more comfort and better service, look elsewhere .

