i really like this phone  .
it's fast , and if you are patient , it will work with you  .
it's great for texting and social buzz is a good way to keep in touch with your friends  .
it's browser is not that good however .
even though this is not a 'smart' phone , for me it has plenty of features that suite me just fine  .
the build quality it great ; slider feels solid , keyboard is easy to view/use and the button feel is good  .
the speaker phone is loud and clear , and reception quality is superior to my old phone , especially on the other end where people have told me i'm very clear when they talk to me  .
i've never had a touch screen phone before , but i've found the touch screen on the gravity t to be very easy to use and responsive once i got the hang of how to scroll and tap propperly  .
i've rarely used any of my camera phones , thought the 2mp camera on this phone is nice  .
the only thing i would have liked is a built in light for the camera , but i can live withou it  .
and the micro sd slot is great for extra memory for music and video  .
all in all this is , for me , the best phone i've owned so far .
good phone for texting  .
good touch screen  .
this phone is awesome , if you buy it , i highly doubt you will have any regrets , very good for its price , overall , a very good , functional phone  .
i would recommend this phone for people who aren't willing to spend a lot of money on smartphones , blackberries , or iphones  .
this is a nice touch screen phone with a slide    out qwerty keyboard  .
it also has a decent camera , although there is no flash , you can edit pictures  .
there is also a night time mode on it which is nice  .
the keyboard is a little flat but it doesn't give me any problems , i find it very nice  .
the widgets are a nice feature  .
it's very easy to use and fun to play around with  .
i've dropped it about 8 times so far and it's only got 2    3 scratches on it very sturdy  .
(i dropped in a cement and from quite a high distance , too) overall the texting is great and it's one of the main reasons i wanted to get this phone  .
the interface is really nice and personally i like this phone better than the lg xenon , which is similar  .
i know many people with the xenon and i like the features on this phone better  .
this phone didn't come with a usb cord or sd card but lucky for me i already had an sd card from my previous phone and when i want to transfer stuff onto my gravity touch i just insert the sd card into my old phone and plug that in  .
it sounds like a long and annoying process but it really is not that bad  .
i don't transfer much on and from the sd card anyways so this did not pose any major problems for me  .
you can always buy these accessories seperately i've had this phone for approx  .
3 months .
i have had mine less than a week and i am pleased with the performance and features  .
the sound quality is better than most phones i have owned  .
display is better than expected also  .
2 mega pixel camera takes decent pictures and video if you are on a budget and want a touch screen without being roped into a data plan , this is a great choice  .
after getting through he learning curve , a very useful , versatile , quality device  .
samsung and t mobile have packed some great features into this phone at reasonable cost .
this phone is great  .
it makes keeping in touch a breeze , and has great widgets  .
a bit slow at times , but you wo not notice it too much  .
does not work with gmail  .
bottom line , great phone for beginners and people who are just looking for a non    smart phone , touch screen keyboard phone  .
it's a great bang for your buck  .
buy it at costco , it's free  .
excellent phone  .
i upgraded to the gravity    t after own the t    mobile tap which in it's sell is a decent phone but felt more as a starter for those just getting use to a touch phone  .
the gravity    t has pretty good reception , little to no static , stylish , great battery life , cool features and way cheaper than the other smart phones (moto cliq , my touch slide , google g1 ect  .
) on the market today  .
great phone , especially when coming from a plain old bar phone with no text/web (nokia 5310)  .
calls are clear and easy to understand  .
email setup (for gmail , hotmail at least) is very easy  .
i have not found a way to download emails only when i want to receive them , not at a specified interval  .
touchscreen seems to work well though sometimes i need to hit a link a couple times on websites  .
processor is pretty quick , though sometimes it does lag but not too long  .
the phone is well built , solid  .
overall great phone with a few minor annoyances , but i expect that with every new phone .
the phone works great and has a very nice feel to it  .
yet i like the use of extension dialing , i hope this gets added , or maybe i'm missing the process of using it  .
small inconvenience for such a great phone .
the bottom line is that this phone is worth the money and will not disapoint you  .
however if you wanted a smartphone capable of everything this is not for you  .
i would definitely recommend the gravity .
we did not want to pay for a data plan because i am home most of the time with access to the computer and dh has a company phone with data , but we wanted a full qwerty keyboard for texting  .
we also wanted a phone that could go overseas and accept a sim card from another country  .
we were formerly with att but all of their full    keyboard phones required a $20+/month data/text plan  .
we got this phone at costco for free with the two year plan (had to pay the tax on $200 each)  .
we are able to turn on and off a data plan if we travel and want to get our email  .
so far we are very happy with the call quality and the features of the phone .
good phone , needs a few improvements  .
hardware     .
the phone is equipped with a full qwery keyboard and the slider has a very good feel and click to it  .
the design is clean , and while it is a bit uninspired , it looks fine and i would not be reluctant to use it in public  .
it is not particularly heavy or thick , but a happy medium of both  .
the touchscreen is very colorful at 262 , 000 colors and is fairly usable in sunlight  .
s only resistive and lacks the accuracy of say , an ipod touch  .
but it is very good and among the better resistive screens i  .
ve used  .
there is no 3  .
5mm headphone jack which is a little annoying seeing how most new phones today have them , but this isn  .
t meant to a multimedia device so it  .
s not too major  .
the phone is equipped with an accelerometer , but it is used in very few applications , such as the video and image viewer  .
finally , the phone is equipped with a 184 mhz processor which doesn  .
t sound too great on paper compared with all the new 1ghz snapdragons out there , but the phone chugged along fine  .
at some times , the phone did stop to think and i did experience horrendous lag while using the music player but shutting down the phone and restarting it fixed the problem and i experienced next to no problems after that  .
if it  .
s a big deal for you , try it out at the store , but it  .
s not an extremely big problem keyboard     .
the virtual keyboard is nothing special , but i did like the haptic vibration and the very big keys  .
it has a fairly accurate t9 and i did not mind typing out short messages on it  .
there is no virtual qwerty keyboard , but seeing as there is a full physical keyboard , i can see why samsung did not include one  .
