as a former owner of an iphone 3gs , i have been incredibly impressed with the mobile os microsoft has put together with windows phone 7 and the integration of great hardware developed by samsung  .
there is nothing quite like windows phone 7    you could never accuse wp7 of being an iphone wannabe    as it creates a mobile experience so sensible and immersive at the same time a static review of the samsung focus and windows phone 7 , for that matter , do not do it justice as you really need to play around with it at the local at t or best buy store to truly appreciate the dynamic experience microsoft and samsung have put together suffice it to say , samsung and wp7 take the cake over my previous iphone experience .
all    around fantastic smart phone with impressive feature set .
i love the 4 screen and the phone being so light  .
i have used windows phones for 3 years now and i have loved the office integration and the set up of the phones  .
but the new redesigned windows 7 phones have blown me away  .
i love everything about them so far  .
the main complaints by everyone seems to be the lack of multitasking and cut and paste , but i have not noticed the lack of these two things yet playing videos from my uverse is great  .
i have been a zune lover for 2 years now , and it is just getting better and better (not an apple fan)  .
i love looking at the new apps appearing everyday in the zune market place , that is the biggest disapointment about the previous windows phone , lack of apps i highly recommend the samsung focus  .
most intuitive , sleek and cool phone i have ever used .
i love this phone  .
i have had windows mobile phones for the past 4 years for personal preference of having a ui that is recognizable  .
while windows 7 phone is a huge step from the standard start button windows , it is simple and intuitive , at least to myself  .
i've enjoyed the capabilities my fusion's sync has with the new phone that the previous windows 6  .
1 did not have and i love only having to carry one device  .
it has seriously lightened the load in my purse , infact i might just be able to ditch the purse  .
it has been very handy at work for scheduling and tasking in this short time  .
i love having office on the phone since i work primarily in powerpoint and excel all day at work , this makes work much more portable  .
the ui is clean and fast , and many co    workers of mine are astonished at it  .
i can see for those who like to download tons of apps and fill their contacts that the organization may be an issue , at this point in time i've not faced any problems however and i'm not an app fanatic  .
downloaded an xbox live game , need for speed , which surprising on the att network out here is decent  .
most of my complaints are against the servicer and not the phone  .
as my husband is also a developer for the phone i'm constantly up to date on what will be changed , so perhaps that makes me even happier  .
overall i'm estatic and i'm in love with this phone  .
i chose it over the htc which i have had problems with in the past with their hardware and service and over the lg which proposed the hardware keyboard , to reduce the number of moving parts on the phone and cut down on weight  .
i can do most things one handed with this phone as well which is fantastic as i have a little one and another one the way so my hands are full .
as soon as i turned the phone on i is blown away but still cautious about not getting a replacement iphone for my stolen iphone  .
the man next to me happened to be a previous iphone fanatic much like myself and began explaining why he waited days for the focus and boy , am i glad he talked me into it  .
the screen is high def and crystal clear  .
