see pro's  .
highly recommend , keep your eyes open for sales on it , i picked mine up at staples for $139  .
i had an awful experience with an alpine gps  .
the garmin nuvi 255w is competively priced and it is quick to calculate instructions  .
the image on the screen makes it very clear when and where to turn  .
i am very happy with the product so far .
this product is very nice and works great  .
if you need a low cost dependable gps unit i would tell all my friends and people who need a new unit to buy this one  .
for the price it is awsome .
i used this gps to navigate my way through the twin cities area to get to my home in arlington , sd which is a very small town  .
for a small town guy trying to navigate in a big city , this gps worked great  .
i would definietly say buy it .
150 in best buy  .
i really like this product and have even named it dr  .
nightmare  .
cheesy , but with downloadable voices , it's really fun to use  .
this model allows for customization , so family pictures can be added  .
when the system is not in use you can run a slideshow of all your family pictures  .
the screen color changes based on the lighting so it is really easy to read day or night  .
the most important reason i like the system so much is because it's accurate  .
right out of the box without downloading the system update , it provided great directions  .
the system also has an sd slot which allows for supplementary maps etc  .
without a doubt i recommend this system .
this is an exceptionally well    designed , easy to use gps with an awesome user interface that makes entering locations a breeze  .
i love that the color scheme can automatically change depending on the lighting conditions and i love the text to speech , meaning that it can speak street names  .
i have used it on several trips and it does a great job letting you know that turns are coming up and which specific exit to take etc , especially on difficult interchanges where you might not be clear on where to turn  .
the only feature i wish it included is advanced lane guidance , as that seems like a really useful extra but the 255w does a great job without it anyway  .
there are several ways to enter a destination which is also a plus  .
you can choose a poi which are broken down really cleverly into sub    menus and sorted by distance which means that i can enter just about any place i want to go with just a few taps of the screen , and you can search by place name as well if you don't know the address or anything else  .
generally , it is very predictive and does a great job at guessing where you're trying to make it go so that you do not have to enter in every letter of the place , a big time saver  .
you can avoid certain streets if you want and do many other things , but basically it comes with just about all of the extras you could possibly want  .
it is extremely fast with route calculations and recalculations if you miss a turn , and there is practically no wait time  .
overall , this is a great gps and i did a lot of looking around before i bought it  .
i managed to get a really good deal on it as well , so it is a no brainer when i decided to buy it  .
if you are unsure whether to go for it or not , the best advice i can give you is to go for it unless you want lane assist and 3d building view , which really are over    hyped features anyway and are generally only found on much more expensive units  .
this is the best gps i have ever used for the price .
voice    prompted turn    by    turn directions that speak street names , widescreen display and ultra    easy to use what else you can want from gps .
product ready to use out of box , turn it on and let it find a satellite  .
easy to read screen , easy to enter address , town etc  .
easy to find locations , gas , shopping , fun places to go  .
all you need is an address and garmin nuvi 255w will get you there .
although it does not have all the bells and whistles a newer gps might have , it's reliable and easy to use  .
i only paid $116 for this product  .
no need for a built    in car gps system now .
i have owned the nuvi 350 , 660 775t 765t , 1690 with nuvi    link and now this one the 255w  .
why you may ask  .
the bells and whistles stink  .
on all of them they all route the same , the interface is the same  .
but on the 660 and up the traffic never worked propertly with msn direct , rds , or even nuvi    link  .
on the more expensive ones with the 3d maps the refresh rates were slow slow slow  .
now the worst one of all the nuvi 1690 i owned 4 of them costed me $487  .
on three of them it froze on the bootup and on the current one i have the hardware for the google search , weather and traffic does not work  .
so i said just get the cheapest one and to my suprise its great for my business i would like the say garmin is a good company to deal with as so far as business ethics is concerned  .
they are giving me back my money for the 1690 even though it's brought the unit from best buy and there customer service is good  .
thats why with so many messed products they come out with i still have faith in the company .
got this as a birthday gift and used it to get from chicago to columbus , ohio  .
while it took me a different route than google maps wanted me to go , i ended up getting to my destination faster than when i used the google map to get to chicago (even though i hit more traffic on the way to columbus) the interface is easy to use , it locked satellite quickly and i had no problems with it in the 5 hours it took to get from chicago to columbus  .
all in all , i feel that this is a great device .
the nuvi 255w is my first vehicle gps  .
my wife gave it to me for christmas  .
m lucky that the one she found for a good price is a garmin , as it  .
s my gps of choice  .
i love it as it is easy to use right out    of    box a few reviewers noted that it comes with no usb cable , charger or manual  .
one reviewer said his/hers did  .
probably paid more for it  .
mine didn  .
t have these items  .
not such a big deal  .
you use it in a vehicle with the supplied power cable anyway  .
if you do use it out of the vehicle , you can charge it with a usb cable  .
mose folks probably have a free usb cable already on their pc i do  .
i use the same cable to charge my cell phone , gps , mp3 player , etc  .
ok i do agree that they should have provided a manual  .
i downloaded the online manual , printed it double sided and trimmed the pages with a paper cutter , punched holes , then bound it in a folder with metal tabs that i also trimmed down to 5 1/2 x 6 1/2  .
it is a little work , but i have a nicely bound manual to keep in my truck's glove box i recommend this unit .
i would recomend it to anyone in the market for a affordable unit  .
may get another one for the back seat to keep the kids from hanging over my shoulder to watch it .
for $170 , it is the cheapest in the garmin brand (from best buy) and works just as well as the other models for basic gps functionality and is great in emergencies  .
a couple of unnecessary quips about how it could be cooler , but as a functioning gps device , it is top quality for it's price  .
note  i do not know battery life .
inexpensive yet quite accurate with location and also with mph of my car posted speed limits of the road , bright screen , good touch screen response good starter gps  .
highly recommended gps unit which will not disappoint  .
i had the tom tom one 130s and it is secretly trying to kill me by sending into places i never asked to go  .
this garmin is perfect , love the shortcuts  .
this is my first car gps that i got as a gift  .
comes ready to use right out of the box , it is even charged  .
i have used other friends gps devices and the map accuracy is pretty good and the design is superior to most for the price  .
being a tech guy i would have liked some more features , but i cannot complain because the few that this device does have seem to be very solid and work flawlessly  .
i really like that it detects light and automatically changes map colors for day and night  .
text to speech is great to have  .
(it reads you the street names) does have a sd card slot for memory expansion  .
i have yet to extensively test this bad boy , but all n all it is a smart simple to use well designed device that you can now bargain buy pretty much anywhere  .
recommended for first time users who can see over features like bluetooth .
i have had gps' for the last six years  .
i have had the garmin pda versions and the laptop versions  .
the 200w is ok but then the wife wanted one  .
i figured i would upgrade to the 255w  .
it is the best money spent  .
i keep my gps simple  .
i adjust claims and the street function is fantastic  .
the maps are really an updated  .
i will be using it for a very long time  .
i stay away from the units with too many functions  .
i believe in keeping the gps simple .
too many whiners bad mouthed this little unit  .
i up    graded from a c330 which is a fine gps  .
the 255w is half the price with added features and works better then my tried and true 330  .
i also did the software upgrade without a hitch and think anyone who cannot download the upgrade should take the bus  .
the unit is on sale at costco warehouses for $99  .
overall i'm loving this unit  .
it's very easy to use , very affordable , and should get you where you're going without all the frills that other units have that you probably won't use  .
it's really a bummer that it doesn't come with all the cables you really need  .
i would like there to be an option to hear the voice you choose to use when you select it , but you have to wait till you're navigating to hear the voice some of the setting changes seem a little difficult to get to , or to remember how you did that last time  .
most of those settings you might only set once , but for those of us who like to change things up now and then , it could be set up with a little more logic all    in    all this is a great device  .
i've had a couple older gps units , and played with a few others  .
i really like this one  .
while navigating it shows on the bottom of the screen your speed and the time you should arrive , without shrinking the map view or compromising the screen  .
another little feature that i really liked is it also shows a little speed limit sign on the lower left of the street you're on  .
this feature does not show up on less important side streets , not a big deal i love how it'll keep track of a trips mileage  .
this is great for work usage if you need to track your mileage .
http  //mantugaul  .
wordpress  .
com/2010/03/22/review    gps    garmin    nuvi    255w    penerus    legendaris    205w/  .
i like it because i can pay attention to my driving instead of watching street signs and addresses  .
the first time i used it i arrived at my destinaton without any errors and since i is early for my appointment i re    programmed it and found a restaurant of my choice just a few minutes drive from my location  .
i would recommend this unit to anyone .
bottom line i'm very happy with it  .
i did a lot of research and reviews before i bought the garmin 255w  .
we went on a small road trip with some friends and she had a garmin gps not sure what model she has but i liked it a lot so i bought one  .
this is a good gps  .
some people that have used the older nuvis might not like the speech on the newer models  .
they have compressed the audio so they do not sound as rich as they used to  .
other than that , its awsome  .
if you buy the unit , register it right away and get the latest maps  .
if the my  .
garmin  .
com says you have to pay for the maps , call tech support and complain that you should not have to pay for a map update on a new gps  .
they will add the map on your account for free  .
