many many pros the touch screen really works , intutive , easy to use menu , and through itunes it got better and better over time without having to move away from your pc / mac the fact that every other manufacturer since the release of the iphone has been trying to copy it proves to me that it really is ahead of its time it has set new standards for the user , the industry to me  .
it's the way of things to come in many many levels .
this is the best phone i have ever had  .
i love all of the app upgrade options and the fact that i now have my music and phone in one device  .
great 3g reception here in texas .
great phone , the only thing that let it down    the price point when it first cam out  .
this is the greatest phone of all time  .
there is nothing wrong with it as long as you are carful with it and have a data plan  .
cheaper than a blackberry and much much better  .
buy this phone  .
the 3gs version is much faster and worth it  .
i highly recommend this phone  .
saved my life in nyc and could make you have a great time wherever city you are in .
great phone  .
it is a great product , but it is a computer so it does crash sometimes    and that is a strange thing  )  .
mutimedia msg get with the times new technology that does not have a basic function  .
it is a great phone if you live in an area where at t coverage is strong , however if you do not live in one of these areas , then i would not recommend you get any at t phone , period  .
but the iphone itself is really a great phone and is the best phone i have ever had , bar none  .
http  //iphoneapps2008  .
blogspot  .
com/  .
http  //apple3greview  .
blogspot  .
com/  .
one of the best items i bought this year  .
i was not sure if an upgrade is worth it , but the newer model really makes email much less painful  .
the best part of the iphone is the apps store    there really is an app for everything  .
i'm a huge gamer , and movie tv watcher  .
i travel a lot , and have access to instant entertainment without having to carry an ipod too  .
the movies look great on it .
the best phone in the world  .
if all i wanted is a phone i would get something else , but adding the value of the iphone to the at t service still makes the hands down winner  .
i converted everything from windows to apple after seeing what apple is able to do with software/hardware integration for the benefit of the user  .
my money is on apple for the foreseeable future for me  .
i have had two blackberry's and , while nice products , the typing difference is the only area where i would rate them superior and that is not a deal breaker when all of the other iphone features are added in to the decision .
i had the opportunity of owning a blackberry bold and switched back to this phone  .
the main reason is that if you have a mac this phone sync flawlessly which is expected  .
blackberry's really don't play nice with mac os and far as syncing contacts , calenders etc  .
also because it's a product of apple , you can just pick up and use the product without having to look at any instruction manuals  .
ease of use baby also with 3  .
0 update coming the iphone is going to get a lot of things that it has been knocked for not having overall you have to give credit where credit is due and this is a great phone  .
i do not think that it's comparable to blackberry bold and it's hands down better than the storm .
i just bought a htc touch pro as my first smartphone in january as i've been with sprint forever  .
i found it very difficult to use and i didn't like it at all  .
i finally broke down and decided i wanted to get an iphone about 1 month ago and switched to at t  .
i had to eat the $200 charge from sprint for breaking my contract and i just gave away the htc touch pro to a family member what a great decision  .
i love the iphone  .
it works so damn well it's unbelievable  .
there are some things apple should add to it , but overall i'm ecstatic about this phone  .
i'm old enough to remember when i is in college and there is a group of people who loved their apple computers and a group of people who loved their dos machines and would scoff at apple users as being simpletans who weren't smart enough to handle the challenge of dos  .
i never owned an apple in college as i could not afford one , but i is envious of those who did as i dealt with my crappy dos machine  .
anyway , the iphone reminds me of those days the iphone interface is amazing and is so darn easy to use that i just love it  .
i just want something that works and works well and this fits the bill perfectly  .
the iphone is for the common man or woman who wants something that just works without having to take classes or read a 100 page manual in order to figure it out  .
it's so good that i'm thinking of getting them for my parents who are in their late 60's because i think they can figure it out and would really like it .
the call quality is great (o2 in the uk) , web surfing is flawless , having a camera always at hand is great  .
