first off , i feel that i need to say that jessica dolcourt didn  .
t do a very good job on the review of this phone  .
my call quality is fine  .
the phone is awesome , i can  .
t believe that it  .
s only (150  .
00) i paid 129  .
99 and got free overnight shipping  .
this phone has everything anyone would want in an android smartphone .
i've had this phone for about a week , and i love it  .
my daughter picked up the zio when they were first available , and when i went to buy , i had the intention of getting the same thing  .
the cricket salesman talked me into this phone , and i'm so glad he did  .
granted , i'm not to tech    savvy but , i love the 9 home screens , and have had a blast looking through all the available apps  .
it comes in handy when having to entertain the grandkids too  .
i have to fight to get my phone back ,  .
i have not had any huge battery issues , granted , never having had a smartphone , the first day i is shocked at how much battery drainage actually occurs  .
but downloaded a task killer app and is done with that problem all in all , i'd say this phone is excellent for the cost , and so far i've had no problems with the cricket service either  .
if you buy this phone , you will love it  .
so cricket has officially stunned me with this deal breaker  .
this is by far one of the best phones ive ever owned in its price range , and i believe it could compare to and compete with higher end phones such as mytouch 3g , cliq , cliq xt  .
its my personal belief that android kicks the crap outta that stupid iphone , and is much more user friendly than any blackberry ive seen so far , that being said , cricket is also a great way to go if you are trying to get away from contract phones  .
and to top all of it off cricket has a pretty fast 3g network , and with that , you couldnt go wrong with this phone if it can even be called a phone feels more like an internet tablet/ palm top pc with calling/texting features lol .
u can do just about anything on this phone .
this is a helluva deal  .
cricket's network has been great for me since i started using them three years ago  .
this phone blew me away  .
it compares to phone costing twice as much updated  .
on nov 6 , 2010  .
i have been a fan and customer of cricket for 9 years now  .
i learned of cricket while visiting my brother in columbus , ga 10 years ago  .
i is upset that we did'nt have it in houston at the time  .
i is an at t customer then , and as soon as cricket landed in houston , i dropped at t like a bad habit  .
how could you lose  .
at those prices ( $35  .
00 ) you could get 2 of them and get rid of your land line in the process  .
unfortunately , i relocated to ga in 2009       ( is not happy at all  .
the coverage area in columbus , ga sucked for the cricket market there and i had to go with sprint  .
well i'm back in houston , tx now       ) very happy again  .
one problem though contract with sprint  .
i had the palm pre , and destroyed 4 of them in a year  .
fortunately i only signed up for 1 year with sprint  .
i saw that cricket is getting an android phone , and i wanted it  .
i is willing to break my contract to get it too  .
well , i just happened to be in the store paying my sons bill and saw the zio  .
my god this must be some kind of a joke i said to myself  .
