i've been waiting for samsung to fix this tv and they finally have  .
the buzz is really no longer and issue the blacks have become much better , the speed of connecting to the net has improved and the color accuracy are just unbelievable  .
the most amazing thing is the energy savings  .
everyone is telling me this is going to suck 250watts or so  .
i've had this hooked up to a voltage/watt meter and it has been humming at 122 in and 108 out  .
just a bit more than a 100 watt bulb  .
in fact my 32crt is pushing 277 watts so i should save a buck or so a month  .
very happy about this .
coupled with even a half    way decent home theater system , you will not be disappointed  .
i added a samsung digital home theater system and can control bot the tv and reeiver/blueray player from one remote  .
my family is enthralled by the picture and the size made viewing a pleasure from anwhere in our living room  .
now if i can just get them away from it so i can watch some of my favorite shows  .
running directv high    def receiver with hd package is a learning experience  .
you have to ensure you reconfigure your directv receiver to accomadate the video and audio setup  .
once that is done , you will be amazed  .
i dont know what to say other than wow  .
for the price , just about anyone can afford to have a solid and true hd experience of your own and on a screen that you will not regret  .
thumbs up samsung  .
you won my decision from panasonic .
i highly reccommend  .
i have had this model for about three months  .
i have been doing resarch on plasmas over the last couple years  .
remote easy to use  .
looks great , front has glossy shine and you do not see the speakers  .
i is able to get a great price on this model and bought it over the internet  .
standard shipping is fine , so save your money good things come to those who wait  .
i is and still am exited about my purchase  .
hd tv is now a must  .
i hove you find this helpful .
i did a lot of research before buying this particular tv  .
i narrowed it down to this samsung , and the panasonic viera th    50pz800u  .
i ended up with the samsung for 2 reasons  .
1st reason is the price  .
the samsung ended up being just a liittle ujust expensive  .
the 2nd reason is the overall look of the tv  .
my wife wanted the shiny blakc finish , and if she is going to let me buy a plasma i was not going to argue with her  .
overall i love this tv  .
i have a 57'' rear projection sony as well and i have a hard time watching it  .
i cannot get over how clean , crisp , and overall awesome the colors and picture are  .
also i would recommend plasma in general over lcd i just prefer the picture more .
simply put if 1500$ is your price range you cannot go wrong with this display , i got this on sale at sears and had to pay $1399 best money i have spent in along time i get to come home and enjoy it every night nothing compares  .
wish it had better sound but almost all the flat panel tv's have sub par sound  .
great price , i paid 1400 .
so far , i believe i purchased the perfect tv for me  .
i bought a lg 720p at costco and the reflexion is way too much , colors were unreal and had not enough adjustments , i brought it back and bought this for 400$ more and it worth all the pennys i tryed batman the dark knight on a toshiba lcd and this samsung pn50a550 and for the fluidity and the contrast in night scenes and also the blacks , the samsung won  .
the black frame looks better then the red touch of color  .
if you like watching movies and sports , the plasma is a lot better .
let me start by saying that this is a beautiful television  .
you will be hard pressed to find one that will produce such vibrant colors that also can process fast movement as well as this one  .
the extended life of this plasma has reached 60 , 000 hour b efore half luminosity (that is 20 years at 8 hours a day i believe)  .
this television is also wonderful in our family room that has 4 windows , all four of which are south facing and high on the wall to let sunlight in during the afternoon  .
i have had no issues with the brightness  .
i have heard that samsung's customer service is nonexistent , so that may be a sticking point for you  .
overall , i would encourage anyone to purchase this tv  .
you will not be dissappointed  .
be sure not to leave the tv on its side for long during transport  .
warm it up in the house before plugging it in  .
and always protect from burn in during first couple weeks by running low brightness  .
etc  .
i purchased the television in around 12    18    08 from sears and i paid 1260 after discounts and before taxes  .
that is with 10% off for use of sears card at the sale price of 1399 .
a steal  .
50 inch plasma that is top rated and has accuracy , high    end processing , plenty of connections and customizable options  .
sleek look and thin .
i is looking hard at lcd's , but ended up with the samsung 50 plasma  .
i chose it because i could not justify the $800 price difference between this tv and an lcd with 120hz  .
cnet had this as one of the best hdtv's to date  .
consumer reports rated this samsung as the best plasma tested  .
i went to circuit city and looked at them all , including the panasonic  .
this tv had as good or better picture than any tv i looked at  .
i've had it for about a week  .
so far i am very pleased .
after reserching for several weeks and debating between panansonic th50pz85u , i purchased samsung pn50a550 , 1 wk ago from bb on sale  .
i am very happy with the purchase  .
there's very minimal diff in picture quality compare 85u but a550's picture/colorlooked more vivid and clear to me  .
i like the sleeker frame/design , more controls , base that swivel , etc those little things made the difference for me  .
great buy  .
be aware of extra warrenty monster cable sales pitch by the sales person which i declined all  .
they will really make you feel guilty for not purchasing them .
the best tv for the money  .
samsung has decided to stop making plasmas  .
so this model could be hard to find  .
but very worth it if you do  .
the colors are nothing short amazing  .
the blacks are a little grainy like stated in the cons but it is something that i can live with  .
tov avoid the samsung customer service horror stories , simple buy the extended warrnty from best buy or other electronic stores .
this samsung model replaces a sony lcd hdtv , which has served me well  .
i chose this samsung model because first , the overall picture quality is better than the dlp models and lcd's  .
the picture is brighter and more vibrant with terrific clarity and coloration  .
i mostly watch sports and also noticed that with the dlp tv's and some lcd's , there is blur during fast motion sequences  .
i did not see this problem at all with this tv and it has not been a problem at home  .
i have nfl sunday ticket hd and the picture quality is amazing  .
non hd channels are not nearly as impressive , but the picture qualty there is solid  .
cnet dinged this tv over its anti    glare technology  .
i have a wall to the left of this tv that is nothing but windows and have experienced no glaring issues  .
set    up is very easy  .
the tv comes well packaged and already on its stand  .
it is easy to lift and connections were a breeze  .
the remote is easy to use and menu functions are easy to use  .
the remote lights up which is great when viewing in the dark speaker sound quality is not good , like it is coming through a tunnel  .
there is an equalizer that helps some , but you're best bet is to use separate speakers and an a/v receiver screen burn    in is a possibility with plasma , but there are features built into this model to help make burn    in unlikely  .
use the features and you should not have any problems price played a role in my decision  .
for the overall picture quality and features , i found it hard to justify paying more for a panasonic plasma or a sony lcd model  .
however your personal taste may say otherwise  .
i do think this samsung tv is worth comparing to other models of interest  .
it may end up being your favorite .
after months of deliberation , i finally decided upon this set because it presented as such a great value  .
i couldn't justify the pioneer 5010 for at least 30% more $  .
there just is not that much of a difference between the two sets  .
i stood in a showroom and looked at them side by side on several occasions and liked the black levels of the kuro , but colors (especially the green) and overall image on the sami sold me  .
purchase without reservation you wo not be disappointed  .
looks much better than my 500 series pani .
i wrote a complete review for the 58 model , check it out .
i researched tv's to find best for money i had  .
samsung plasma seemed best bet  .
however , that is based on presumption that set is made in company factory , by samsung trained techs , in appropriate assembly environment  .
that is not what i have  .
i have a refurbished set at new price the tv    when working    is great  .
but samsung has worthless customer service that lies outright , stalls , claims to be escalating to executive customer relations (ecr)    but did not do so until 4th demand  .
ecr is also worthless , simply repeated ad nauseum no exchange if set can be fixed  .
no consideration of my point about it now being not new but refurbished  .
refused to give name of contact in head office , just blanket address to office of the president  .
other posts have said letters never answered  .
mine either , so far  .
bottom line    would not buy samsung product again without strong non    samsung extra warranty be warned if you are thinking of buying any samsung product  .
they do not stand behind their products .
at first i is a little apprehensive but i bought it any ways  .
i really is looking to buy a panasonic th    50pz800u , but there were no dealers around me  .
i am one to see before i buy  .
i do not like to buy from the big box stores ; i  .
m one for those who specialize in specifics and customer service  .
they turned me on to the samsung ; the price is $1000 dollars cheaper than the panasonic  .
yes the black supposedly are stronger on the panasonic than the samsung and the panasonics has thx mode  .
me not knowing a lot about these things i probably wouldn  .
t know unless they where side by side  .
very user friendly right out of the box and easy to setup .
i upgraded from a samsung 32 lcd , so this 50 looked embarrassingly large in its place  .
at first i felt that perhaps i had overdone it a bit , but i'm quite used to it now  .
) i really love this tv perhaps it's not the best tv available , but it is for the money  .
i am more of a consumer reports kind of guy       i think value should warrant as much attention as performance when evaluating a product  .
sure , the pioneers and some of the panasonics may have better blacks , but how much are better blacks worth  .
this model is under $1 , 400 when i bought it and those others are $2 , 000+ plus  .
in my opinion the blacks just are not worth that much so if you are interested in value this tv's cost  benefit is unbeatable , at least for now .
this is my first plasma ; i have a uk version ps50a558 that is identical to this one  .
i is on the net for months looking around for my first purchase  .
had this now for three weeks , i is initially concerned at reading some of the uk forums full of negative stories about this product  .
what finally persuaded me were the cnet positive reviews  .
i have to say the picture is perfect , i thought it would be fuzzy as in the uk we do not have a lot of high definition broadcast yet , it is still pretty much standard definition (sd)  .
sd transmission is not bad at all  .
some programs are crystal clear so much so you can see the zits and sweat on people  .
s faces  .
not that this should be the buying point  .
some of the older programs are not so clear  .
overall i am really happy with my purchase  .
there are between 20    35 picture controls so you can really tune up the picture to your desire  .
if anything the only negative point i would remark on is the contract resolution , the tv should have had this higher , i am running at close to the highest contract level with medium setting on energy saving  .
this tv allows you to set the energy it consume to low , medium or high the pay off is you loose some contrast on the picture  .
the sound is not that good , but i knew this having read all of the reviews , i have a panasonic home cinema sound system , so sound is not the reason i purchased this item  .
i bought this for the kids as they were hassling me and they love it , lets face it most of the time this tv will be used to watch kids programs like disney channel etc , i have not yet linked up to blu    ray or ps3 , only because i don  .
t have one  .
overall i am cool with this product and no doubt an improvement on my previous traditional sony and jvc 28  .
tellies  .
i have put it on a cantilever stand and it looks brilliant , a floating television  .
the tv is slim black bezel , very shiny  .
does attract does , so i bought a small smooth duster which i use to swipe on it every now and then  .
for the price this is a great tv , yes you could get better picture and better sound , but then be prepared to pay between �300    �1000 more for the best models on the market , this tv fit well for price and quality .
ok , did i did a ton of research and wanted the best plasma set i could get for under $1400 bucks  .
the picture does not disappoint  .
no picture complaints at all  .
i also plugged my macbook in and the screen is more than detailed enough to use it as a giant monitor the main drawback is how quickly the set retains images  .
i've got my xbox 360 plugged in via and i really feel i have to limit the amount of time i play to insure that the bright hud doesn't burn in  .
even after just an hour i can still see some residual image and have to run the screen burn protection  .
if you'd like to play extended sessions like me you'd better be careful  .
there's probably some technical reason for this , but the pixel shift mode for screen burn protection wo not work if you plug in via hdmi  .
which is a shame because if you've got a tv like this you'd better be using hdmi for everything  .
i cannot comment on the speakers but for god's sake , if you're getting a tv like this how can you not have a surround sound system  .
it's all or nothin' , baby  .
all    in    all this tv rocks and i highly recommend it to anyone who has their heart set on a plasma  .
i watch lost on it every week after downloading the high res version from xbox live  .
the viewing experience is epic  .
there is alot of talk about when you put you screen on all white you will see green the good news is that for the past couple of years quality manufacturers have been steadily working on improving plasma technology resistance to burn in with great success  .
one technique used is motion adaptive anti burn in technology , which focuses on moving the on    screen image ever so slightly  .
the goal is to avoid detection by the human eye , but still move the image enough to cause color changes in the pixels  .
a second improvement by some manufacturers is improvement in the phosphor gas itself in order to make it more resistant  .
the green phosphor is the most important in this process  .
this is also a key element in increasing phosphor and screen lifespan to crt levels (2) know that plasma screens are more prone to burn    in during their first 200 hours of use  .
when phosphors are fresh , they burn more intensely as they are ignited  .
this means that relatively new plasma display tvs are prone to ghosting , which occurs when on    screen images appear to stay on the screen belatedly  .
this is a function of the high intensity with which new phosphors pop , and this phenomenon usually washes out on its own , as the screen displays subsequent images  .
displaying a bright , or moving snow image (as with a dvd or vcr with no input) will wash a ghost image from the screen in most cases  .
many plasma manufacturers have installed anti    burn settings , which are monotone gray or snow screen settings which recalibrate pixel intensity levels uniformly    thus eliminating any image retention (ghosting)  .
it is a good idea to run this type of program after the first 100 hours or so this is just something that you guys need to know and will help better your plasma's life  .
updated  .
on feb 1 , 2009  .
i have not experienced any level of buyers remorse with this tv which cannot be said with some of my other purchases in the past .
i own the pn58a550 model  .
the above review used to be correct , however samsung came out with a firmware update that solved the pink hue problem  .
however , the new problem is that whenever there is an image on the screen that has a straight edge , that image bleeds all the way across the screen and on top of anything in its path  .
it happens on all the 550 and 650 models  .
go to the store and see yourself  .
its most apparent on the green preview screen that comes up before movie preview , but you can also see it when you access the menu and highlight a submenu option  .
look to the right and left and you will see color bleeding lines going across the screen on certain background colors read the avs forums and its a common issue  .
trying to get samsung to fix it right now , and if not , i'm going to have future shop replace is with the panasonic model would be the perfect set otherwise .
after doing about 3 months of research , i'm extremely happy i purchased this tv .
we've had this tv for about 5 months now and we're very happy with it especially for the very reasonable price we paid ($1400)  .
this tv replaced a failing samsung dlp tv and the difference in picture quality is considerable , even over the quite good dlp tv the wife and i agonized over whether to spend the bucks on a comparable lcd unit or go with the tried and true plasma  .
this is still an ongoing heated debate among aficiondos of hd tv's  .
lcd's are certainly improving each and every year but for the money , imho you cannot beat the plasma the color production of this unit is bar none , the best i've ever owned and on hd channels the picture quality is sublime with the sole exception being the very best and most expensive hd models  .
