for my price point there is no better television  .

bought it on amazon  .

no issues  .

saved about 200 bucks that way and arrived safely and carried in by careful guys  .

not one issue hooking it up  .

color and blacks continue to amaze  .

it's like my own personal movie theater in my house .

i have a smaller (32 ) samsung tv and i expected this larger version to have a slightly worse picture (the small tv has an awesome picture) but i is pleasantly surprised  .

the new one is far superior in all modes  .

even the pc input is terrific  .

i suppose there are pictures as good or better but i do not thin my eye would be able to detect it  .

this set is also a good by  .

i bought it at bestbuy as a close    out  .

i cannot even find it anymore on their website and i have only had it 2 weeks  .

if you can find this set for less than $1800 , buy it  .

i use this with a directv hd hr23 stb and a logitech harmony one universal remote and they work flawlessly together .

i recommend everyone to get this hdtv for its quailty and popularity .

is forced to buy a new tv after my my four year    old sony's light engine died for the second time and sony would not cover the repair  .

they offered me a discount on one of their lower end models (60hz) and would not budge  .

told them no thanks , i'll spend my money elsewhere  .

reviewed different models extensively on cnet and elsewhere  .

i'm so glad i bought this samsung  .

best tv i have ever owned period  .

colors are rich and blacks are truly black  .

very little adjustment needed right out of the box  .

felt confident about buying this unit and i am glad i did  .

is a little concerned about the remote and the wheel  .

i think it is a personal preference issue more than anything else  .

i found it easy to use , similar to a computer mouse and therefore very comfortable for me to use  .

my wife finds it easier to navigate with the wheel  .

red color not noticeable  .

au revoir , sony  .

you'll never see another dollar of mine .

this is my first hdtv so i really spent a lot of time researching  .

i generally read a lot of positive comments about this set and all of the comments were true  .

the purchase experience is great (buydig) and the set is working within about 3 minutes of arriving  .

fortunately for me , the ncaa's were on when i plugged it in and from the first second i saw the picture i is stunned  .

crystal clear picture with vibrant and true colors that are not overly intense  .

there are 3 predefined settings for picture but the standard picture setting is perfect for me  .

there are a number of other picture controls but quite frankly i haven't had to use any of them  .

the standard definition tv picture is just ok but that's not why i bought an hdtv even things that people complained about in the reviews that i read don't seem that bad  .

of all the negative issues , i is most worried about the glare  .

this has not been a problem  .

our tv is in a room with a large window on the side and while the sun doesn't shine directly on the tv the room does get filled with light and this has just not been a problem  .

the remote control is another issue i read about but since i programmed my fios remote to work the tv , this has not been an issue either  .

i could see what other users were talking about with the remote but this should not be a reason to stay away from this tv  .

finally , i read a lot of negatives , especially from cnet , about the red touch of color but the red is really subtle and actually adds a little character to the set overall , an absolutely amazing picture on a set that is exceptionally easy to set up  .

i is glad i did my research and really happy about choosing this tv  .

i'm going to buy a smaller version of the same tv for our bedroom .

i bought this for $1895 for the superbowl and am loving it  .

i went from an old 27 tube sony (still a great picture) to the ln52a650  .

i did 4 months of research before buying  .

i compared this model to sony , toshiba , vizio , panasonic and pioneer lcds , and to 50 plasmas from the same makers  .

the 650 is the standout in terms of features and picture quality  .

not to mention the design is very nice , swivel stand , and lower power consumption than most other sets in its class  .

i would highly recommend this set , especially now that it's nearly feb  .

2009 and you'll be able to pick it up more cheaply as the year goes on and dealers clear their stock to make room for the newer models  .

this thing is pretty    near future    proof .

highly recommended  .

easy to use  .

location of connections on the back are convenient and numerous  .

the red color mentioned by cnet is hardly noticeable , unless you have a lot of light and really look hard  .

it looks almost black  .

you can not go wrong here  .

it is an awesome piece of furniture .

well worth every penny spent  .

i simply like everything which they have provided  .

has all the latest tech specs  .

also have ethernet port connectivity for latest news , firmware , alerts etc right ont he screen    including weather  .

simply awesome .

i have been researching lcd tv's for quite awhile , finally picked this one  .

my plasma screen started to have a black line going across it  .

so had to buy a new set  .

this thing is amazing the picture makes it look like you are looking out the window and watching them make the movie right in front of you .

l sat and looked at the top of the line sony when l bought this and to be honest l did not see 1 , 000 dollars more tv from sony at that time  .

l am  .

i just bought this tv yesterday and i love it  .

but when i is watching a dvd , the picture looked a little funny , it's hard to explain , but it didn't feel like it is a movie  .

i felt like i is in the tv itself  .

i'm wondering if this is a result of my settings (automotion) and what can i do to turn it off  .

, because i do not want that .

it takes alot for a tv to impress me and the picture on this tv looks like you are iin the movie  .

even regular dvd's look alot better and blu ray movies look incredible  .

you will love it  .

i got mine a circuit city for $1999  .

00 plus tax  .

i bought the 22 version of this tv six months ago for the kitchen  .

it is only 720p , but it had a great picture and worked well with our analog tivo (hooked up via component)  .

i also had a 20 year old antenna in the attic and since we were only 25 miles from chicago , i decided to hook it up and to see what would happen  .

well , it is amazing    we got all the local chicago channels in glorious hd (ota over the air)  .

this convinced me to buy the big brother ln52a650 for the family room  .

i know this spring i will be getting a new antenna mounted on the roof for better reception  .

