all in all you can not go wrong with this unit for the money  .
way better than any tom tom  .
not to mention its really cool showing off your high end gps  .
i wanted a high end gps with high end function but really couldnt afford it  .
this gps allowed me to have to have the best of both worlds  .
these had a big price tag when they came out , prices have really dropped  .
i paid under $200  .
00 and its been going strong for more than 3 years  .
i have used this in many big cities and never no problems  .
dc , atl , mia , hrb , all up and down the east coast from pa to fl  .
love it love it love it  .
we went camping in nc it got us from sc to the nc mountains through the treacherous route 80 , straight to the camp ground with pin point accuracy  .
we could not have asked for better results  .
great product for the price , would buy again .
so many features at such a good price  .
i bought it from tiger direct for $199  .
rapid service from them one thing is not mentioned in the review and a pleasant little surprise  .
on highways , a little white box shows up at the left side of the screen  .
it has the current speed limit  .
so you are never in doubt as to what it is  .
this shows up sometimes in areas where you need to slow down  .
i watched and it changed from 55mph to 45mph immediately as i passed a speed limit sign announcing that very thing  .
nice little plus i like the where am i feature  .
one reson i got a gps in the first place is the idea that i could be found if i is in an accident and my car (or i) couldn't be seen from the highway  .
paranoia at it's finest , i guess my voice of choice is a male british  .
very soothing  .
he tells me the street names and says the name of my via point/destination when i come to them  .
i can see that it would say the name of a store as i pull up , but it will also tell me i'm arriving at mary smith on the left i had a garmin street pilot but wanted the slimmer nuvi to carry in my purse when i get out of the car  .
i have it mounted on the dash and love the cradle  .
easy on/easy off and you get the added benefit of charging the unit while you drive along in between my 2 garmins , i foolishly , bought a tomtom one xls  .
ugh  .
not for me thanks i definitely recommend the garmin nuvi 750  .
both the street pilot and the tomtom have been passed on to grandchildren  .
who appreciate them because they did not have to pay for them .
took a ride in my brothers rv and the screen detail and directions were great  .
am looking forward to the help it offers while traveling off my usual route .
it's incredible  .
but to sum it up in two words  .
bad  .
ass make sure you pick one up for that special someone this xmas , neither one of you will be disappointed .
so many features installed , manual too vauge to understand how everything works amazing unit , i recommend this to anyone who does not need bluetooth features , if they are needed then chose the nuvi 760 with bluetooth  .
or to travel to europe then move up to the nuvi 770 am very pleased , pros greatly out weigh the cons  .
this is a great product and i would reccomend it to anyone who gets easily lost like me  .
i always feel confident with the garmin nuvi guiding me and my driving  .
do not hesitate to get this unit  .
it's great  .
i recently purchased the nuvi 750 and used it to drive 450 miles from cleveland to downtown manhattan  .
it worked flawlessly and despite a mistake or two on my part the unit quickly recalculated and i is back on track  .
now i can travel with complete confidence and the freedom to go anywhere effortlessly a week later i took it on a trip to vegas where it guided me from the airport to the mirage hotel including navigating the parking lot  .
that same day it took me to the hoover dam  .
4    days later i used it to find red rock canyon where it knew about every little path there is for a car to follow  .
i do not know what more you could expect from a gps i have read a few reviews where there were complaints about the recalculation speed  .
my recommendation is to load the garmin webupdater on your computer and let it update both the firmware and software of the device  .
how can anyone expect this device to perform at peak efficiency if its not updated with the latest firmware/software  .
mine works like a champ  .
its the best purchase i have made in a long time  .
i returned the tomtom 720 and purchased this unit  .
it works with my bluetooth phone and it is viewable in bright sun  .
the tomtom failed in both those areas tomtom 720 has more options to than the garmin 760  .
i liked being able to set up the screen the way i wanted  .
with the garmin it is pretty much set , i will hope for it in a firmware update  .
i wish they would add rv/truck as a vehicle type routing software for your pc is not included  .
a quick (very quick) call to garmin support fixed that  .
it is in the mail to me now at no charge  .
thanks garmin  .
first gps unit  .
checked 600 series , 700 series , and the 350  .
read alot of reviews and went with this nuvi 750  .
did not need bluetooth capabilities but like the extra benefits of the 750 over the other units  .
gps catches satellite signal very quickly  .
re    routes in a hurry and features such as where am i  .
is a plus  .
tells immediate direction to police , hospital , fire if needed  .
also when unhooked from car mount will remember where your vehicle is at if you put in pedestrian mode , handy if you are ina large parking arena sports , shopping etc ten routes is nice feature  .
voice is easy to understand even when not hooked to fm radio , that works excellent also in your car  .
text to speech is great feature you do not have to look at the unit , overall very happy with purchase .
i have owned a quest for three years and have been extremely satisfied  .
the quest still does things that the nuvi does not do  .
however , the nuvi 750's big viewing surface an the touch screen controls won me over  .
in addition , the 750 does multiple via points and can save multiple routes (just like the quest , not possible with the 300 and 600 garmin series earlier this year , i bought but returned a tom tom 720 because of poor accuracy , a too busy viewing screen and a flimsy mounting bracket  .
the nuvi 750 is worth the wait .
this is my first gps unit and i received it as a gift  .
the unit is great and does the job well  .
the controls take a bit to remember where everything is my biggest complaint is the very poor fm transmission  .
never clear  .
always fuzzy  .
i have traveled over 30 , 000 miles using this gps  .
it's basic features are very easy to use and typically the gps is very accurate  .
it is a little pricy but the extra features have been very useful on long trips .
i had to convince the wife that we needed it , once she experienced it , well , the rest is history  .
i had to constantly pry it from her hands as she located mall after mall  .
the extra features found in other more expensive models were in my opinion , overkill  .
i have xm radio and bluetooth with hands free dialing already  .
you cant go wrong by purchasing this unit  .
by the way , bb had it listed at 481  .
00 , i scanned it with my g1 phone , showed a local store had it for 198  .
00 , and they matched it  .
so as you can imagine , i am very happy .
i do not know what these guys are complaining about  .
this is a solid unit with quick acquisition of the satellites (suburban chicago)  .
had trouble connecting (upon start up) in the loop but somewhat expected in the canyons  .
it recalculates my routes instantanously and the accuracy issue about distance to turns is uncalled for  .
by the time i hit several hundred feet to the turn , there's no question where the turn is so not sure i need immediate feedback 20 feet away  .
for the discounted price ($200) , it's a great value .
accuracy is the main thing  .
getting the right direction to your destination with a piece of mind  .
i've read other reviews and on their test the garmin beats tom tom and navigon  .
navigon got me tempted for the free traffic report that they throw in for the life of the product  .
but i've heard that its not that accurate  .
tom tom uses tele atlas and i heard this is not as accurate for the north america region .
i bought this unit for my wife  .
let's stop right there for a second  .
my wife is not technologically inclined  .
she hates tech things  .
she's managed to use the gps , the handsfree interface with her phone , the traffic updates , calculator , and even the link up to her radio for audio playback  .
that's really impressive  .
it speaks volumes about how committed garmin is to the user experience the screen is crisp , bright , and easy to figure out  .
the 3d mapping is the best i've seen  .
i use a pioneer with navtraffic , and this unit is better at 1/4 the price do not dismiss the extra features  .
we're in california , and there's a handsfree cell phone law  .
this unit marries to most cell phones , and can even send a radio signal on an fm frequency for amplification of calls traffic reports come in over the car charger , and they seem pretty accurate battery life is terrific  .
i cannot find much wrong with the unit  .
the cell phone hookup could have better audio i suppose , but it does its job pretty darn well it's a good piece of technology , and worth the price (got this unit for under $300 dollar at costco on sale) it's a buy .
i've owned the unit for 2 or 3 days now and am very pleased  .
bought a unit and returned it in less than 24 hours since it is clearly defective and would not take a charge  .
replacement unit is fine  .
