most powerful phone i've ever own  .
the fact that i can edit hd video from anywhere and then upload it is amazing  .
not to mention the beautiful screen and millions of apps available  .
it literally will do anything you could possibilly ask of a phone and computer  .
love it  .
i love this phone  .
i previously had a sony ericsson w580i that had pretty much fallen apart  .
i considered the captivate , but its interface is really ugly in my opinion and android is not a unified experience like the iphone is meant to be  .
the iphone's interface works seamlessly  .
so seamlessly , in fact , that i can count the number of times it has lagged at all on one hand , and i've had it for over a month  .
the battery life can go for two days easily  .
i have never had a dropped call with it , and i cannot reproduce the antenna flaw on my own phone  .
facetime is flawless , as expected , and pretty neat as well bottom line    if you want a phone that works like an ipod with easy music syncing , great battery , quick internet , a flawless interface , and great applications , this is the phone for you  .
it is worth every penny .
i've had this phone for about a week after reading some of the reviews on here i is skeptical but at t gives you a full month to 'test    drive' it so i figured what the heck , if i didn't like it i'd just return it  .
well after just a little less than a week you would have to pry this thing from my cold dead fingers for me to give it up  .
it is that good  .
for anybody thinking of upgrading from a 3g do not even hesitate , just do it , you will not regret it for a second  .
for a first time smart    phone buyer , you might as well get the best if you're going to do it  .
i understand people's complaints about at t's network i had many myself and was not planning on upgrading , i is going to wait it out for the verizon iphone until i dropped my 3g into the fish tank  .
the 4 has dropped one call in a week my 3g would've easily dropped 10 (probably more)  .
so to me the reception and/or network has been greatly improved on the 4  .
i've also heard that at t is dumping more cash into their network than any other provider so i can only imagine it will get even better  .
bottom line on the 4 it is an amazing device , fast and powerful and chock full of goodies  .
and despite many of the reviews saying otherwise , it is a solid phone that does all you could ask of it .
i join the apple family last november with the 3gs and i is totally amazed with that phone but the ip4 is an outstanding smartphone  .
it covers my needs  .
the retina display is awesome way beyond anything i have ever seen before  .
there are so many good features on the phone it is hard to list  .
i got my phone on launch day and i have not had any problems  .
but the first thing i did is put my phone in a case because that is how i handle all my phones  .
so when i heard about the antennae problem i took the case off and touched the strips and yes some bars dropped but it never affected service  .
i get better reception with this phone than the 3gs  .
this is one outstanding phone and for those in good att coverage you will love this phone .
buy it  .
apple has definitely created a winner in the iphone 4  .
it is honestly the best smartphone i have used to date  .
i owned the iphone 3gs , nokia e71 , blackberry curve , lg shineplus , and blackberry pearl  .
the phone's display is incredibly bright and bold  .
the a4 processor is very powerful and does a very good job with multi    tasking  .
i use the iphone 4 with virgin mobility (owned by bell mobility) in canada  .
safari browser and mail are quick to respond and load emails or web pages  .
facetime works great with other iphones and with the new ipod touch  .
i have no clue what the whole fascade about the antenna was  .
i agree the signal drops when the magic x spot is held on the iphone but i have not had dropped calls (and i believe that's what matters) i did order the free iphone case from apple because i is being offered a free case  .
all in all , iphone 4 is the way to go  .
i'm back home apple  .
i'm in love with my new phone so that i cannot keep my hand of it more than 10 min  .
from now on i'll be using iphones .
just like it a lot .
i left verizon for this phone and i could not be more happy  .
people like to talk down at t but honestly i dropped calls with verizon everyday , at t has been good in the month i've been using them i've found that verizon is out to nickel and dime you to death , not so with the apple and at t  .
there are tens of thousands of free good quality apps found in apple's app store , i searched high and low for a free verizon app and i never found one also if i do buy an app i can sync my phone with itunes on my computer and then sync my wife's phone and put the same app on her phone for free (it's nice to save some $$$)  .
with the phone having built in wi    fi i can save on the data plan and still go on the web at work and home  .
