works excellent  .
video quality is as goo as b4 sync if not a little better depending on original format  .
sound quality is outstanding though suggest buying a different pair of earphone/headphones  .
has preset stations some features include   fm options (regioon   usa or world and mode   stereo or mono) photo options   slideshow (with music) shuffle loop and to go list delete photo  .
video   brightness , bookmark , rate , delete  .
audiobooks   chmode on/off speed slow/normal/fast delete book , track info  .
music options   add song to golist , rate , repeat , shuffle music eq , replay gairn , delete song , track info system settings   wallpaper (color) , display art in lists , backlight , power saver , sleep , language (various   french english spanish german , ect ) bightness volume normal or high , reset factory settings format , usb mode (autodetect/mtp/msc) info contains how many media files for each format video/music/podcast/audiobooks racordings  .
also displays amount of memory used on self and sd card battery level display and time display on main window (s) as well  .
whats not to like  .
recorder picks up even the faintest of sounds  .
turn button whell is a nice added touch the on/off slide button could stand out a hair more otherwise better on side than face  .
unit does take a little getting use to but easy enought the first go around  .
no need for user manual if you are familar with such products (mp3 players ipod ect) basically it is a straight forward unit user friendly  .
comes half charged which still last a long time  .
i used a 2gb microsd for expanded media playing refreshes in no time without having to shut off unit first  .
find sd cards to be excellent to hold movies ( 3    4movies depends on format size) i originally had sansa c240 nice for just music/photos  .
for 2 yrs got its use dailly for hrs on end  .
headphone wires got caught and after time the jack gave wave  .
so , had to replace  .
i liked the c240 unit now love fuze same price yet more features + video  .
kept my wall and car adapter which allows for play while plugged inyet usb/pc does not allow  .
not a problem since pc used to transfer to device or from anyways  .
what more can i say  .
will not work with itunes or i tunes base media players  .
will work with jetaudio , winamp and windows media player  .
is not compatable with itunes  .
i am not sure on other media players other than had no luck with rhapsody though other people say different  .
reson for rhapsody software is not to sync yet to buy music  .
look around you'll find cd's cheaper compared to long term payed music  .
or just use limewire aresgalaxy (preferred personally from sourceforge  .
net ) or any p2p file sharing program updated  .
on nov 14 , 2009  .
i used to have an ipod , but i got sick of using itunes , and having my ipod freeze up on me constantly  .
i is tight on budget so i instantly fell in love with the price , and of course the features  .
i bought it around christmas time so it came with a pair of skully headphones for $75  .
the way it works is also like the ipod , except it's a little backwards (like on the playing menu , the order of the song name , artist , album on the display)  .
this is like an improved ipod with an fm radio , recording capability , and an add memory option  .
it's a total win (    .
i love this mp3 player  .
it does not have too many features which i like , not to complicated , i figured out how to use it in like 30 seconds literately  .
i would recommend this to a friend .
what can i say , this is possibly the greatest mp3 player of all times  .
it has everything a standard ipod does not have (except for games , but who needs games on a mp3 player when you've got video , music , and fm radio  .
simple and easy to use controls , video quality is great (the sound tends to not be in sync for videos 20min and longer , but only by a few milliseconds) , and not to mention it has a nice sleek , professional    like design  .
you're not just limited to 2gigs either , obviously there's a huge selection of storage space and color another great feature is the fact that you can add a mini sd chip , which makes your storage that much larger be warned however , like i mentioned , it tends to bug when trying to sync with wmp11 (trying to add over 14 or more songs at once through this program is a big no no)  .
sync through the folder or cd itself overall , this is a great product , and a well spent ~$60    70 to any owner  .
now please excuse me while i add more band of brothers episodes onto my sansa fuze  .
excellent 'micro' clip    on' mp3 player  .
2gb storage keeps me with mixes and re    mixes (used to dj in the 'disco days) all day  .
built if fm radio scans for stations (or you can manually tune using the control    circle on the front of the player  .
excellent battery life (used it during the day , turned it back on and fell asleep  .
battery is still powering the unit and continued for another 3 hours when i woke up the next morning)  .
people that complained the screen is too small for videos must not have looked at it through the clear packaging before buying it  .
it is not a video player  .
people that complain that the menues are 'dull'    folks it has a small screen to give you titles and basics on the menues  .
read the instruction book and you will not have trouble with the small screen  .
when it comes to the real thing (play music) this one does a great job almost half the price as a i d for the same capacity (at least here in portugal) , and better sound quality with the proper headphones (i use a s r px100) , and well encoded files (or better flac files) you will have real pleasure moments if you want sound quality at a contained price don't look further i've read that the fuze's small brother (sandisk sansa clip+) is as good in an even small packaged , but i have not tried it yet .
i purchased this device for a couple of reasons , i didn't want another i    pod had one , it is over    priced , required the i    tunes (which i was not necessarily fond of) and is just not something i wanted to go back to the device is much smaller than almost any i    pod out there , save the shuffle  .
the interface is similar to the i    pod and like many others out there , has all the standard fair , music , videos , pictures , settings , it also includes a few that are not standard to all players ; such as , voice and fm radio  .
in the voice section you can record your voice notes and they appear here , or record something from the fm radio that's built    in to the device first off , i don't listen to alot of music on any mp3 player , i listen primarily to podcasts , and audiobooks from audible  .
this device handles both of these admirably  .
the one drawback to the podcasts that i have is that i have not found anything that synchs podcasts as well as the i    pod and i    tunes but , the device handles podcasts just fine  .
audiobooks with the audible media manger no problem whatsoever , in fact one thing i like better about this device than my old i    pod is that when you hit the chapter ahead button in an audiobook , it actually goes to the next chapter , not the end of the book (like on the i    pod) for my use it works great , i've been using media monkey , that software finds the device just fine and synchs with it (music) just fine all of this on top of the fact that it's ever expandable , just keep buying memory and use it and it's unlimited memory/storage space love this device , and if i'm looking for a mp3 player in the future i'll definately consider another sansa device .
this player exceeded my expectations  .
it is a nearly perfect player in my opinion  .
the only thing i would improve is to increase the battery life to around 40+ hours  .
as far as rhapsody goes , the player loads almost instantly , even with capacity full on the player as well as the micro sd card  .
also , transferring is very quick  .
i'd recommend this player to everyone .
this player is more or less the best alternative to any ipod nano  .
it includes video , fm , voice recording and much more features than the ipod nano's  .
a downside is that there is not a wide variety of docks , cases and accessories  .
it deserves a 4 but not a five because of fixable downsides .
the device is nice , fits nice in your pocket , and your hand  .
the rear is scratch free after many drops  .
very good device for the price  .
hey , that rhymes  .
i finally bought the sansa fuze from www  .
shopsansa  .
com and i am so happy with it  .
